,vehicle,miles_bin,origin_state,count,rpm mean,rpm median,rpm std,vehicle_rank
202,SPRINTER,2,TX,60,1.8968426501000193,1.805605790373048,0.5550737513953848,1
203,SPRINTER,2,WI,3,1.9999121601556171,2.0611976911976915,0.4758092064474833,1
204,SPRINTER,3,AL,6,1.9285996680733655,1.6210082455695787,0.6696681735058562,1
205,SPRINTER,3,AZ,5,1.4380165214611846,1.3096351730589335,0.2525016196503826,1
206,SPRINTER,3,CU,8,2.898508346872874,2.7369417666732243,0.7110264934884885,1
207,SPRINTER,3,FL,6,1.5456033827278357,1.3576440092165898,0.3450187626182668,1
208,SPRINTER,3,GA,15,1.4442923623413508,1.4498299319727892,0.21407609694047097,1
209,SPRINTER,3,IA,5,1.5179910996176722,1.5504915102770331,0.20454161373676005,1
210,SPRINTER,3,IL,5,1.0401384615384615,0.9829059829059827,0.11318510507487992,1
211,SPRINTER,3,IN,9,1.0929426664024156,1.051282051282051,0.21884889677995406,1
212,SPRINTER,3,KY,14,1.4065845711100962,1.4576452987834139,0.3522640312505015,1
213,SPRINTER,3,MO,6,1.8159604447703412,1.7871333964049196,0.20987358289115632,1
214,SPRINTER,3,MS,4,2.0462259159011635,1.877215395480226,0.40340185518170857,1
215,SPRINTER,3,NH,4,1.5599011534561433,1.6210553278688526,0.15706121575878956,1
216,SPRINTER,3,TN,65,1.2889711442310836,1.2560557053009884,0.39393976787250057,1
217,SPRINTER,3,TX,126,1.7293075777771572,1.6493566176470589,0.5167027408522392,1
218,SPRINTER,4,AG,27,1.8461950568033283,1.7665615141955835,0.7478626635195408,1
219,SPRINTER,4,AL,4,1.78611233277025,1.5858236215351877,0.439092152758364,1
220,SPRINTER,4,AZ,43,1.5417224577821436,1.484174516608825,0.38010458548057047,1
221,SPRINTER,4,CA,18,1.5749306941196837,1.516653208823882,0.4352414082217686,1
222,SPRINTER,4,CT,5,1.1015154565457164,0.9624639076034648,0.22818212253329215,1
223,SPRINTER,4,CU,54,2.015284955569924,1.6516489222914486,1.0019964389703877,1
224,SPRINTER,4,DF,4,1.5248574328786102,1.4277869302581,0.2165166463287972,1
225,SPRINTER,4,EM,18,2.15027100078743,2.2392290249433104,0.7274426103786269,1
226,SPRINTER,4,GA,8,1.5945777195736615,1.3375628286795962,0.6000465250601459,1
227,SPRINTER,4,GJ,51,1.9747295395174056,1.6516731087796797,0.804380730106542,1
228,SPRINTER,4,IL,46,1.2048543479919633,1.1435747138361518,0.23863777213225132,1
229,SPRINTER,4,IN,52,1.287568664844145,1.219480022237852,0.31321430548971596,1
230,SPRINTER,4,JA,50,2.003994228208906,1.9478569467229145,0.44648083486123985,1
231,SPRINTER,4,KY,86,1.4942245048889788,1.5133603238866398,0.3449061993644522,1
232,SPRINTER,4,MA,21,1.2322119011081518,1.2670107930549035,0.22993945040526015,1
233,SPRINTER,4,MI,392,1.1339725496366577,0.9858111038820212,0.4497813918011687,1
234,SPRINTER,4,MN,12,2.1502104872007575,1.4598731439119255,1.654460909839926,1
235,SPRINTER,4,MR,9,2.2021571935689708,1.8410539629005056,1.1001648921049942,1
236,SPRINTER,4,NC,27,1.154830793868359,1.1242516268980476,0.22871627789585303,1
237,SPRINTER,4,NJ,7,1.0793760582824155,0.9646643109540636,0.1931955292734183,1
238,SPRINTER,4,NX,68,1.9728682329144551,1.8179485832537408,0.482060826692954,1
239,SPRINTER,4,NY,9,1.220175460365896,1.2403439291297549,0.15387268217650185,1
240,SPRINTER,4,OH,79,1.1816532244874614,1.1576971214017522,0.2667678887053404,1
241,SPRINTER,4,ON,17,1.6504212796483932,1.6893732970027249,0.2952974495822857,1
242,SPRINTER,4,PA,20,1.142302818807987,1.0606060606060606,0.23836153585423916,1
243,SPRINTER,4,PU,16,1.8815905098000512,1.8391554692943168,0.4005058038463568,1
244,SPRINTER,4,QA,62,1.8758179433934217,1.7562901581295765,0.6665688912141358,1
245,SPRINTER,4,SC,47,2.059293932977943,2.1376869009584665,0.8543412899871032,1
246,SPRINTER,4,SL,34,1.7649983028086447,1.6704236313422456,0.5083328927488693,1
247,SPRINTER,4,TL,3,1.917262803376829,1.95578231292517,0.3276532292648516,1
248,SPRINTER,4,TN,25,1.5524256723952448,1.4232268121590024,0.5195405689460021,1
249,SPRINTER,4,TX,868,1.413480122723117,1.296453063646973,0.46894457446314725,1
250,SPRINTER,4,UT,20,1.391243830208646,1.3111740855762595,0.19665290702660257,1
251,SPRINTER,4,VA,15,1.234441897951089,1.136842105263158,0.27314099594487495,1
252,SPRINTER,4,VZ,4,2.4958821432983904,2.5482448873743073,0.64921375618301,1
253,SPRINTER,4,WI,43,1.5401179857632201,1.490984743411928,0.4025266025359854,1
254,STRAIGHT TRUCK,0,AG,7,2.9430770658840832,2.935222672064777,0.2209733161064098,3
255,STRAIGHT TRUCK,0,IL,14,4.394660692616424,4.72442814595169,0.8451986488995639,3
256,STRAIGHT TRUCK,0,IN,13,4.644444304853197,4.583029411764706,0.8749033205512015,3
257,STRAIGHT TRUCK,0,KY,38,4.274637866595811,4.4685613136289,0.9485812815967626,3
258,STRAIGHT TRUCK,0,MI,34,3.9536948988146556,3.950357185396939,0.6409049841312798,3
259,STRAIGHT TRUCK,0,NC,6,3.782043523848214,3.739141681068553,0.9153366935780137,3
260,STRAIGHT TRUCK,0,OH,15,4.496117661185675,4.749939637826961,0.8605499368240782,3
261,STRAIGHT TRUCK,0,TN,17,4.100605763054175,4.022560240963856,1.0080934634552987,3
262,STRAIGHT TRUCK,0,TX,42,3.5192046002395574,3.239130434782609,1.106667590438648,3
263,STRAIGHT TRUCK,0,WI,5,3.9555019743311037,4.042819843342037,1.2330392644264494,3
264,STRAIGHT TRUCK,1,IN,7,3.931863408209339,3.5780427046263346,0.8697075312112372,3
265,STRAIGHT TRUCK,1,JA,8,2.7439153816152646,2.805547221888876,0.24658348516443224,3
266,STRAIGHT TRUCK,1,MI,13,3.4648950212260705,3.5288640595903167,0.806387051270719,3
267,STRAIGHT TRUCK,1,NC,4,3.6854992247207603,3.6709981331709836,0.34553752104651925,3
268,STRAIGHT TRUCK,1,NX,3,5.206918552865147,5.305466237942122,0.17068959752161733,3
269,STRAIGHT TRUCK,1,OH,7,3.5711742152957746,3.897185840707965,0.655017342790871,3
270,STRAIGHT TRUCK,1,SC,4,2.686333730718487,2.6664462845746986,0.5065664823960196,3
271,STRAIGHT TRUCK,1,TN,26,3.4857624279940227,3.1950421373498297,0.9903067603090204,3
272,STRAIGHT TRUCK,1,TX,22,2.5592688694045758,2.467947272276223,0.6357610229969198,3
273,STRAIGHT TRUCK,2,EM,10,1.7254392715146853,1.7699115044247788,0.21986778003616014,3
274,STRAIGHT TRUCK,2,KY,5,5.425162873339538,5.950653120464441,0.7276051979561837,3
275,STRAIGHT TRUCK,2,MI,13,3.615208760083476,3.468638676844784,0.8812889727544168,3
276,STRAIGHT TRUCK,2,NC,4,3.704586119212139,3.976163677692865,1.0912425719083303,3
277,STRAIGHT TRUCK,2,OH,3,3.543123997183058,3.7268296296296297,0.48291010713460786,3
278,STRAIGHT TRUCK,2,PU,4,2.324521152594343,2.189472011428161,0.33938118319568283,3
279,STRAIGHT TRUCK,2,SL,5,3.9351133787696293,3.7249283667621778,0.5582126150304705,3
280,STRAIGHT TRUCK,2,TX,32,3.2868821142591025,3.0805096133967336,1.1979083964424038,3
281,STRAIGHT TRUCK,3,AL,5,2.5471300006478814,2.461236506378803,0.3264134625368087,3
282,STRAIGHT TRUCK,3,CU,9,3.1742722084202004,3.2637075718015667,0.6352639322121169,3
283,STRAIGHT TRUCK,3,GA,7,2.1491776681807933,2.0434782608695654,0.3450220912945936,3
284,STRAIGHT TRUCK,3,IL,5,2.081175805681435,2.0292598967297764,0.1774612829734208,3
285,STRAIGHT TRUCK,3,IN,19,2.073581501167075,1.8795046968403075,0.40672799813060384,3
286,STRAIGHT TRUCK,3,KY,19,2.4220267164256613,2.151838681699913,0.8545415435873894,3
287,STRAIGHT TRUCK,3,NE,4,3.467408154757112,3.5520947986467677,0.7253436858841968,3
288,STRAIGHT TRUCK,3,NX,3,5.0230560738943835,5.0,0.43797427896340785,3
289,STRAIGHT TRUCK,3,TN,95,2.028210461346169,1.8029259896729777,0.6575491442650948,3
290,STRAIGHT TRUCK,3,TX,343,2.670444257933815,2.573529411764706,0.6996214357452052,3
291,STRAIGHT TRUCK,4,AG,27,2.636333983264043,2.359252601702933,0.8967369918328418,3
292,STRAIGHT TRUCK,4,AZ,7,2.3339440499985367,2.2911051212938007,0.3732104628608238,3
293,STRAIGHT TRUCK,4,CA,7,2.864513344220395,2.6033312769895125,0.8980026366015459,3
294,STRAIGHT TRUCK,4,CU,75,3.238740601530189,2.826384142173616,1.2263928165028821,3
295,STRAIGHT TRUCK,4,EM,46,2.66784858423177,2.2392290249433104,0.8224375382343934,3
296,STRAIGHT TRUCK,4,GA,3,2.838382193416328,3.1320361362056985,0.6264143692796681,3
297,STRAIGHT TRUCK,4,GJ,81,2.815500286043206,3.003806038426349,0.719515942357214,3
298,STRAIGHT TRUCK,4,IA,4,2.86941065573499,2.49678000906225,1.076533188116178,3
299,STRAIGHT TRUCK,4,IL,71,2.132939755669802,2.056369047619048,0.4903795993983723,3
300,STRAIGHT TRUCK,4,IN,151,2.3358832991727048,2.0905923344947737,0.6383130564116292,3
